"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Alt","DigiKey","Mfg","Mouser","Source"
"BT1","1","MS621R","","","","","","Seiko: MS621R-II27E","628-MS621R-II27E","in EU order from Farnell, DigiKey, eBay or AliExpress"
"BTN1","1","tactile switch 4.7x3.5","","","","Apem: APTCLGTVTR, E-Switch: TL1014AF, E-Switch: TL1014BF","","E-Switch: TL1014BF160QG","612-TL1014BF160QG",""
"BTN3","1","tactile switch 6x6","","","","","","SameSky: TS27-68-24-G-260-D","179-TS276824G260D",""
"C1,C28,C38,C43","4","1uF/10V","","","","","","TDK: CGA3E2X5R1A105M080AA","810-CGA3E2X5R1A105MA",""
"C3,C10,C15,C20,C23,C24,C27,C44","8","100nF","","","","","","TDK: CGA3E2X7R1H104K080AE","810-CGA3E2X7R1H104KE",""
"C4","1","100uF/6.3V","","","","","","TDK: C4532X5R0J107M280KA","810-C4532X5R0J107M",""
"C5,C7","2","3pF/C0G/0.1pF","","","","Yageo: CC0603BRNPO9BN3R0","","Walsin: HH18N3R0B500CT","791-HH18N3R0B500CT",""
"C6,C8,C16,C22,C25,C29,C30,C34,C37,C41,C51,C53,C55,C56,C58","15","100nF","","","","","","TDK: CGA3E2X7R1H104K080AE","810-CGA3E2X7R1H104KE",""
"C9,C11,C12,C17,C18","5","100nF/100V","","","","","","TDK: CGA4J2X7R2A104M125AA","810-CGA4J2X7R2A104MA",""
"C13","1","4.7uF/6.3","","","","","","Samasung: CL10B475KQ8NQNC","187-CL10B475KQ8NQNC",""
"C19","1","4.7uF/4V","","","","","","Samasung: CL10B475KQ8NQNC","187-CL10B475KQ8NQNC",""
"C21,C39","2","10nF","","","","","","Murata: GRM1857U1A103JA44D","81-GRM1857U1A103JA4D",""
"C26","1","10uF/4V","","","","","","TDK: CGA4J1X7R0J106K125AC","810-CGA4J1X7R0J106K",""
"C31,C33","2","1.5nF","","","","","","Murata: GRM1885C1H152JA01J","81-GRM185C1H152JA01J",""
"C32","1","10nF","","","","Yageo: CA0508KRX7R7BB103, Kyocera: W2A4ZC103KAT2A","","Yageo: CA0508KRX7R7BB103","603-CA508KRX7R7BB103",""
"C45,C46","2","100pF","","","","","","Samsung: CL10C101JB8NNNC","187-CL10C101JB8NNNC",""
"C47,C48","2","10uF/100V","","","","TDK: C3225X7R2A106K250AC, Murata: GRM32EC72A106KE05K","","TDK: C3225X7R2A106K250AC","810-C3225X7R2A106K25",""
"C49,C50","2","22uF/6.3V","","","","","","Samsung: 963-MSASE329JB5226MT","187-CL31A226MOCLNNC",""
"C52,C57,C59,C60","4","100pF","","","","","","Kyocera: KAM21BG82A101JT","581-KAM21BG82A101JT",""
"CAP1","1","M2.5x7","","","Excluded from board","","","SameSky: TS27-CAP","179-TS27-CAP",""
"D4","1","3.6V/2%","","","","NXP: PZU3.6B2A,115, Vishay: NXP: BZX384B3V6-*","","NXP: PZU3.6B2A,115","771-PZU3.6B2A,115",""
"D5,D9","2","10V","","","","","","NXP: PDZ10BF","771-PDZ10BF",""
"D6,D10","2","100V/100mA","","","","BAT46WS, BAT46WJF, BAT46WSHE3-TP, GSBAT46WS, NSR02100HT1G","","Diotec: BAT46WS","637-BAT46WS",""
"D7","1","Green LED","","","","","","LiteOn: LTST-C190KGKT","859-LTST-C190KGKT",""
"D8","1","3.3V/2%","","","","OnSemi: MM3Z3V3ST1G, NXP: PZU3.3B2A,115","","OnSemi: MM3Z3V3ST1G","863-MM3Z3V3ST1G",""
